video_id,title,publish_date
7lEWtEG3vd0,Why you should support your favorite open source projects,2025-11-04T13:05:31Z
yhtdkuw9mbM,Creative Web Development with Three.js and Blender – 3D Portfolio for Beginners,2025-11-03T16:22:59Z
siMP-22x5Ck,How to brand your form controls,2025-11-03T13:17:25Z
et7u_tnlS0Q,The inventor of HTML gave away the web for free...,2025-11-02T13:43:24Z
nHqeMW0iLBU,What was it like growing up in Dubai?,2025-11-01T12:32:25Z
lYhi86Zaetg,The world's first website is still live...so retro.,2025-10-31T23:32:22Z
cfOI7PBhkWk,How to Compete Against the Global Dev Talent Pool with Patrick Hartley [Podcast #195],2025-10-31T14:01:15Z
fQ51cM44o7I,What does a double !! do in code?,2025-10-31T12:18:20Z
vc5T3VmCar0,Playing chess is a lot like software development,2025-10-30T23:18:27Z
9HOpanT0GRs,Harvard CS50’s Intro to Cybersecurity – Full University Course,2025-10-30T14:34:25Z
svOjqXjMvGI,🧛Hoisting Horror! Everyone says variables are hoisted. So why does this break?,2025-10-30T11:52:27Z
ykvHQwgCjro,Perfect image cropping every time...,2025-10-29T22:52:24Z
Fr9GqFwl6NM,Kubernetes Course – Certified Kubernetes Administrator Exam Preparation,2025-10-29T15:53:38Z
RwDvIaoJeAs,Why you should always negotiate - in the job search and in life,2025-10-28T23:29:27Z
r6jVezXnBMQ,How to package yourself as a problem solver companies want to hire,2025-10-27T23:05:26Z
xHUwGx-ZlTM,Serverless and Microservices with C# – Scalable Cloud Applications with Azure and .NET Aspire,2025-10-27T14:53:15Z
utxq6LY1ero,Stop using padding hacks to make squares,2025-10-26T23:17:23Z
FHBBaSUQk1Y,How contributing to Open Source can lead to tech jobs,2025-10-25T23:43:32Z
baYjd4pFjlw,Learn how to make any div resizable,2025-10-24T23:32:22Z
EO8QoyRSVaw,First dev job at 45 – Interview with self-taught freeCodeCamp grad Eric Carlson [Podcast #194],2025-10-24T14:00:20Z
xJjxQjZTryI,Problem Solving for Beginners: Build Algorithms from Scratch with First Principles and JavaScript,2025-10-23T14:45:11Z
xTg_pBgr_vA,"Danny Thompson's ""Why hire me"" experiment",2025-10-22T22:52:29Z
83Kgx-Xe_DI,Make highlighted text match your brand or color scheme,2025-10-21T23:29:23Z
xwI5OBEnsZU,Data Structures and Algorithms Mega Course – Master Technical Interviews in 49 Hours,2025-10-21T13:06:28Z
Hfo5uvbmDaY,Flexbox spacing made easy,2025-10-20T23:05:25Z
-VC3hIEL7eQ,SwiftUI Course for Beginners – Create an iOS App from Scratch,2025-10-20T14:12:03Z
BRksIg2jkbo,How Ania Kubów uses time blocking to make the most of her day,2025-10-19T23:17:28Z
-KRTTe__qy8,How to style your input cursor in CSS,2025-10-18T23:43:24Z
Ufy1FyqvfKM,Audit the advice you're getting - it's not all gonna be good,2025-10-17T23:32:25Z
hM2T45qbIPI,From injured athlete to software engineer with Kaleb Garner [Podcast #193],2025-10-17T14:00:06Z
_dCn4WrWnBw,How to use Python's .isprintable() method,2025-10-16T23:18:24Z
c6IyCwAV6BY,What is the JavaScript DOM?,2025-10-16T17:58:03Z
Y9m_Chx1joE,"Why you should surround yourself with the smartest, most driven people",2025-10-15T22:52:59Z
DosHnyq78xY,Intro to MCP Servers – Model Context Protocol with Python Course,2025-10-15T12:55:53Z
EzyJpHz2awM,How to make heart shapes in HTML,2025-10-14T23:29:14Z
30diF8dKpAY,Google Generative AI Leader Certification Course – Pass the Exam!,2025-10-13T13:49:05Z
xH9ZKsTY73Y,Evan You – From Art School Kid to Open Source Legend [Podcast #192],2025-10-10T14:00:06Z
WXk7yDqsKxs,Harvard CS50’s Intro to Databases with SQL – Full University Course,2025-10-09T13:48:27Z
W4M-g9wsEC4,React 19 Project Tutorial – AI Code Explainer,2025-10-08T13:30:49Z
tfpGS_doPvY,Deep Learning Vision Architectures Explained – Python Course on CNNs and Vision Transformers,2025-10-07T16:17:24Z
jaDi29eRYps,From manufacturing worker to first developer job at age 43 with Thomas Gooch [Podcast #191],2025-10-03T14:00:06Z
LzMnsfqjzkA,Become a Fullstack Developer from Scratch – Full Beginner’s Tutorial,2025-10-01T15:57:12Z
jBf7of9JTV8,"Build a Full Stack Movie Streaming App in Go – Golang, React, MongoDB, OpenAI API Project Course",2025-09-30T12:28:36Z
5JTBS09e7ew,AWS CloudOps Engineer Associate (SOA-C03) Certification Course – Pass the Exam!,2025-09-29T15:33:57Z
yguDjZcUpH8,Lone Wolf Dev turned Open Source Super Contributor Tom Mondloch [Podcast #190],2025-09-26T14:00:06Z
mvleESOUTRw,Production-Grade AI Project Tutorial – Build & Deploy,2025-09-25T13:58:50Z
p3sij8QzONQ,LLMs from Scratch – Practical Engineering from Base Model to PPO RLHF,2025-09-23T12:32:33Z
B0TJC4lmzEM,"How to Build Advanced AI Agents – Course for Beginners (LiveKit, Exa, LangChain)",2025-09-22T14:35:42Z
MiGXhDvuvEg,Learn Chess and Become a Better Developer with Ihechikara Abba (ELO rating of 2285) [Podcast #189],2025-09-19T14:00:05Z
QSFWSjBHIkw,ASP.NET Web API – Token Based Authentication Tutorial,2025-09-18T14:47:49Z
0Hd5vYqin7w,Databricks Data Engineer Associate Certification Course – Pass the Exam!,2025-09-17T13:52:14Z
Vs4hQsDpxww,"Code Your Own Code Editor – JavaScript, HTML, CSS Tutorial",2025-09-15T14:42:47Z
6_qwLx8jwBY,Playing the Developer Job Search Game to Win in 2025 with Danny Thompson & Leon Noel [Podcast #188],2025-09-12T14:00:17Z
UuknxVdqzb4,Secure PHP Apps with Symfony & MongoDB – Full Course for Beginners,2025-09-11T13:01:06Z
MiPkcTaRbfQ,Godot Game Development for Beginners,2025-09-10T13:00:48Z
9vkkJ4tC4SQ,iOS App Store Submission Tutorial,2025-09-08T14:50:28Z
Zv2a6ixXEQc,How to focus on building your skills when everything's so distracting with Ania Kubów [Podcast #187],2025-09-05T14:00:06Z
H-oCV5brtU4,Intro to Fine-Tuning Large Language Models,2025-09-04T14:09:42Z
YtHdaXuOAks,Guide to Agentic AI – Build a Python Coding Agent with Gemini,2025-09-03T13:37:24Z
tpIyum0ERIo,Mandarin Chinese Language Beginners Course – Learn HSK1 Level Mandarin,2025-09-02T13:51:56Z
ebarbEsoHzg,"How to use AI as an accelerator, not a crutch, with freelance engineer Ankur Tyagi  [Podcast #186]",2025-08-29T14:00:06Z
tPkJLnDqAKk,JavaScript Tutorial with Three.js – 5 Projects for Beginners,2025-08-27T12:50:36Z
u43gJJrVa1I,Professional Cloud Architect Certification Course – Pass the Exam!,2025-08-26T13:42:34Z
Q5U-b6gRTaY,Computer Vision with Arduino Tutorial – 2 Projects,2025-08-25T13:59:45Z
L6kMdLH1S8w,From Hospital Janitor to Developer with Emmett Naughton [Podcast #185],2025-08-22T13:15:07Z
