video_id,title,publish_date,year,month,title_length
SPvOyNW-ka4,Learn English with INSIDE OUT 2 — Meet Anxiety!,2024-08-03 14:57:48+00:00,2024,8,47
n8Qy9P5uTAY,Learn English with PODCASTS — Our Lives Before NETFLIX,2024-07-31 15:00:51+00:00,2024,7,54
2pkNRVuJ_70,Learn English with FAMILY GUY,2024-07-27 13:26:33+00:00,2024,7,29
Bkp2tArah3o,Learn English with WILL SMITH — The Pursuit of Happyness,2024-07-24 16:01:07+00:00,2024,7,56
IIhWbZk2B3o,Learn English with THE LION KING — Be Prepared,2024-07-20 14:45:02+00:00,2024,7,46
YONM8R2_iu8,Learn English with BRIDGERTON,2024-07-17 15:23:10+00:00,2024,7,29
myozboRap1w,Learn ENGLISH with Anne with an E,2024-07-10 14:59:31+00:00,2024,7,33
SjXDL4OijaA,Learn English with The SPIDERWICK CHRONICLES,2024-06-29 15:00:07+00:00,2024,6,44
AxlJvpuuZ0s,Learn English with MEGAMIND,2024-06-26 15:08:42+00:00,2024,6,27
9l2Z3dNQsKk,Learn English with ZENDAYA — Funny INTERVIEW,2024-06-22 18:51:28+00:00,2024,6,44
apI6j_LQYAA,Learn English with THE SIMPSONS,2024-06-19 15:10:54+00:00,2024,6,31
fGNl7LPekwI,Learn English with Disney&#39;s STRANGE WORLD,2024-06-15 14:30:10+00:00,2024,6,45
Xg5fQepURP0,Learn English with Disney&#39;s WISH,2024-06-08 15:00:33+00:00,2024,6,36
u_aPcX0fqAc,Learn ENGLISH with MODERN FAMILY — Manny&#39;s Friend is in Love with Gloria,2024-06-05 14:46:48+00:00,2024,6,76
PjOf8tV_AXA,Learn English with ELEMENTAL — Disney Animation,2024-05-15 15:44:30+00:00,2024,5,47
mxG8Ls1SQz8,Learn English with FALLOUT — TV series,2024-04-24 15:01:45+00:00,2024,4,38
lJi160lINsk,What&#39;s Your English LEVEL? — Test Your English with RATATOUILLE,2024-04-10 17:52:19+00:00,2024,4,67
0GUTKuAGNlU,Learn English with AVATAR: The Last Airbender — NETFLIX Series,2024-03-27 17:38:00+00:00,2024,3,62
Xz4q93l6uvQ,Learn English with WAR OF THE WORLDS — Film with TOM CRUISE,2024-03-20 15:03:14+00:00,2024,3,59
4JP1nPLVy2Q,Learn English with FINDING NEMO — First Day of School,2024-03-13 15:59:34+00:00,2024,3,53
_kafLt9bNyU,Learn English with MONSTERS INC.,2024-02-28 15:00:12+00:00,2024,2,32
UJ8-pkHH-1M,Learn ENGLISH with TANGLED — Rapunzel Wins Over Maximus,2024-02-24 15:00:31+00:00,2024,2,55
Lus0ttddiD8,Learn English with BROTHER BEAR — Disney Classic,2024-02-21 15:36:12+00:00,2024,2,48
Lm6xqxp-Z5A,Learn English with PERCY JACKSON — New Disney+ Series,2024-02-14 15:00:10+00:00,2024,2,53
fXgtDigsfJU,Learn English with NETFLIX Documentary — Sylvester Stallone,2024-02-10 15:00:10+00:00,2024,2,59
kr1dSeXK0-U,Learn English with GRISELDA | New Netflix Series,2024-02-07 15:00:39+00:00,2024,2,48
fO4hWM0qi9A,Learn English with THE MORNING SHOW — Jennifer Aniston &amp; Reese Witherspoon,2024-01-31 15:00:39+00:00,2024,1,78
l_mdbmJG7hw,FUN ENGLISH LESSON — FAMOUS ACTORS Try Sweets for the First Time,2024-01-27 15:00:41+00:00,2024,1,64
YG1CvHw6QOk,What LEVEL is Your English? — TEST with KUNG FU PANDA,2024-01-24 15:00:27+00:00,2024,1,53
7Qy--sdZ7ic,Learn English with MONEY HEIST — La Casa de Papel,2024-01-20 15:00:08+00:00,2024,1,49
CflETAu1f4I,Learn English with EMINEM — Understand the Lyrics of &quot;Mockingbird&quot;,2024-01-17 15:58:10+00:00,2024,1,76
